song_artist,song_name
jimmie vaughan,dengue woman blues
bodeans,fadeaway
nat king cole trio,what'll i do?
dean martin,things
gladys knight & the pips,every little bit hurts
buddy guy,change in the weather
bad company,weep no more
garnett silk,love me or leave me
caro emerald,dr. wanna do
børns,"10,000 emerald pools"
my bloody valentine,to here knows when
stan getz,lee
billy ray cyrus,we fought hard
ashford & simpson,count your blessings
the delta saints,sun god
wilco,love is everywhere (beware)
bluntone,loved ones
america,only in your heart
michael jackson,al capone
wendell b,work
frank zappa,wait a minute
simple minds,mandela day
cypress hill,lick a shot
madeleine peyroux,no more
perry como,it's a lovely day today
nat king cole,these foolish things (remind me of you)
michael franti & spearhead,the thing that helps me get through
jason aldean,gettin' warmed up
the supremes,where did our love go
nancy sinatra,summer wine
boozoo bajou,divers
ozzy osbourne,dreamer
sanchez,the christian life
special ed,i got it made
waylon jennings,don't play the game
hüsker dü,beyond the threshold
del shannon,needles and pins
xavier rudd,gather the hands
madilyn bailey,titanium
the pack a.d.,needles
toby keith,when love fades
traffic,stranger to himself
alice cooper,go to hell
graham parker,break them down
riley green,that's how ya left me
ella fitzgerald,thou swell
thin lizzy,fighting my way back
grace potter & the nocturnals,one heart missing
lost sounds,i get nervous
one direction,right now
tony bennett,the good life
reba mcentire,why haven't i heard from you
flox,the known warrior
ricky skaggs,don't let your sweet love die
damien rice,delicate
the doors,indian summer
wolfmother,the simple life
black sabbath,cornucopia
slakah the beatchild,number 1
modest mouse,novocain stain
alice cooper,time to kill
leon redbone,"another story, another time, another place"
kansas,magnum opus: father padilla meets the perfect gnat / howling at the moon / man overboard / industry on parade / release the beavers / gnat attack
crystal gayle,ready for the times to get better
george jones,i get lonely in a hurry
lonnie liston smith,dreams of tomorrow
alabama,i'm stoned
keith urban,parallel line
motörhead,stay clean
pearl jam,footsteps
maxi priest,just a little bit longer
the kinks,all day and all of the night
big head todd and the monsters,bittersweet
coheed and cambria,wake up
"clarence ""frogman"" henry",you always hurt the one you love
jay & the americans,this magic moment
eagle-eye cherry,save tonight
tony bennett,when joanna loved me
dire straits,one world
michael jackson,who is it
johnny cash,after the ball
camel,your love is stranger than mine
télépopmusik,genetic world
elkie brooks,fool if you think it's over
black rebel motorcycle club,weight of the world
pat kelly,just for a day
positive,blessing after blessing
eddie kendricks,someday we'll have a better world
slow pain,latin rollers
turnpike troubadours,gone gone gone
lucinda williams,hot blood
ike & tina turner,chances are
dusty springfield,you don't have to say you love me
kenny rogers,(hey won't you play) another somebody done somebody wrong song
seals and crofts,you're the love
method man,4:20
ariana grande,better off
ruby and the romantics,heartaches
seals and crofts,the longest road
bobby vinton,blue on blue
jacki-o,if i had a son
hank thompson,"when you're lovin', you're livin'"
tina turner,what's love got to do with it
anders osborne,louisiana gold
the crusaders,sugar cane
christina aguilera,beautiful
sugarland,stand back up
maxi priest,love will cross over
ub40,burden of shame
ini kamoze,statement
the statler brothers,some i wrote
jah cure,show love
metro boomin,overdue (with travis scott)
slayer,evil has no boundaries
ella fitzgerald,night and day
britt nicole,when she cries
drive-by truckers,when the pin hits the shell
talking heads,sugar on my tongue
the black keys,give your heart away
john prine,aimless love
tim mcgraw,what she left behind
the pointer sisters,neutron dance
lefty frizzell,stranger
the monkees,what am i doing hangin' 'round
tracy byrd,lifestyles of the not so rich and famous
the lemonheads,being around
conway twitty,except for you
shirley horn,do it again
dillinger,cornbread
bob dylan,i believe in you
iris dement,these hills
joni mitchell,come in from the cold
zz top,old man
timi yuro,smile
stephen stills,in the way
little feat,perfect imperfection
chris standring,cool shades
ronnie milsap,why don't you spend the night
vince gill,if i had my way
gene ammons,it's the talk of the town
passafire,divide
lynyrd skynyrd,southern ways
bob marley & the wailers,slogans
eagles of death metal,stacks o' money
george jones,my cup runneth over
jon bellion,life
pulp,underwear
tommy dorsey,there are such things
robert plant,little by little
allan holdsworth,checking out
pyeng threadgill,phonograph blues
nofx,leave it alone
phish,stash
nine inch nails,the hand that feeds
dan seals,three time loser
justin townes earle,halfway to jackson
phish,we are come to outlive our brains
type o negative,love you to death
tab benoit,matchbox blues
a great big world,say something
bullet for my valentine,all these things i hate (revolve around me)
tricky,you don't
wire,dot dash
stanley clarke,slow dance
the afters,well done
the statler brothers,too much on my heart
the box tops,the letter
the beatles,the word
ub40,good ambition
thee oh sees,if i stay too long
ronnie laws,love's victory
ray price,release me
montgomery gentry,lonely and gone
eric clapton,another ticket
the skatalites,confucius
bill evans,sometime ago
johnny cash,another song to sing
artie shaw,deep in a dream
the platters,heart of stone
shania twain,home ain't where his heart is (anymore)
firefall,dreamers
chris ledoux,navajo wrangler
the smashing pumpkins,stumbleine
jamey johnson,in color
beach fossils,what a pleasure
duran duran,hungry like the wolf
johnny cash,"oh, what a good thing we had"
journey,remember me (feat. steve augeri)
the expendables,sinsemillia
milky chance,cocoon
popcaan,clean
hank williams iii,5 shots of whiskey
great white,kick start my heart
bleubird,time 4real
"blood, sweat & tears",you're the one
otis rush,gambler's blues
bitty mclean,the real thing
kenny loggins,i believe in love
widespread panic,walk on
jason aldean,fast
godsmack,i fucking hate you
coldplay,politik
mark wills,back at one
bachman-turner overdrive,givin' it all away
ray charles,this old heart (is gonna rise again)
bryan adams,kids wanna rock
alton ellis,let him try
kiss,king of the night time world
warren zevon,boom boom mancini
kari jobe,forever
omaure,down under
betty everett,the shoop shoop song (it's in his kiss)
billy talent,fallen leaves
the chordettes,carolina moon
molly hatchet,power play
nancy sinatra,"so long, babe"
freeway,hot new hip hop
gang of four,ether
kenny loggins,"i'm alright (theme from ""caddyshack"")"
genesis,cuckoo cocoon
cocteau twins,when mama was moth
hank williams iii,mississippi mud
nine inch nails,sanctified
lari white,now i know
secret garden,the promise
poco,midnight rain
alan jackson,there is power in the blood
black uhuru,youth of eglington
sum 41,walking disaster
the dear hunter,saved
eric clapton,lonesome and a long way from home
eagles of death metal,speaking in tongues
new order,chosen time
anthrax,medusa
ella mai,shot clock
dean martin,the story of life (all this is mine)
jefferson airplane,in the morning
renaissance,day of the dreamer
johnny thunders,love is strange
the cranberries,liar
frankie paul,sara
eddy arnold,i want to go with you
quality control,dead man walking
paul davis,keep our love alive
blackstreet,no diggity
dmx,x gon' give it to ya
emitt rhodes,somebody made for me
joe bonamassa,mumbling word
afi,love like winter
susie arioli,blue skies
matisyahu,obstacles
fats domino,my girl josephine
bobby vee,devil or angel
thin lizzy,fats
a perfect circle,imagine
mc5,kick out the jams
rod stewart,every beat of my heart
t-rock,be a g about it
eli young band,skin & bones
ozzy osbourne,killer of giants
ted nugent,great white buffalo
jefferson airplane,two heads
go radio,rolling in the deep
greensky bluegrass,windshield
mission of burma,outlaw
al jarreau,you ought to be with me
the nerves,paper dolls
bruce cockburn,after the rain
bazzi,paradise
count basic,joy and pain
the oak ridge boys,this crazy love
the strokes,"alone, together"
sam cooke,sweet leilani
jonas brothers,black keys
steps ahead,islands
wipers,what is
ziggy marley & the melody makers,generation
wire,too late
j.b. lenoir,down in mississippi
green day,warning
count basie,too close for comfort
a-ha,there's never a forever thing
tegan and sara,everything is awesome!!! (feat. the lonely island)
the supremes,automatically sunshine
missio,bottom of the deep blue sea
spirit,gramophone man
joanne shaw taylor,break my heart anyway
tech n9ne collabos,red nose
zero 7,in the waiting line
linval thompson,"long, long dread locks"
breaking benjamin,forget it
tool,ænema
j.j. cale,don't go to strangers
311,evolution
jeezy,r.i.p.
the blues brothers,going back to miami
creed,a thousand faces
the green,mama roots (feat. j boog)
the byrds,space odyssey
the knack,let me out
steppenwolf,for ladies only
dolly parton,wildflowers
the cascades,my first day alone
bunny wailer,reincarnated souls
lucky dube,on my own
"crosby, stills, nash & young",don't say goodbye
ella fitzgerald,the song is ended
finneas,let's fall in love for the night
black rebel motorcycle club,salvation
duke ellington,paris blues
reks,hop out boyz
misfits,descending angel
fleet foxes,ragged wood
hot tuna,"oh lord, search my heart"
thin lizzy,renegade
hiroshima,with this heart
gary allan,no regrets
black uhuru,uptown dub
colbie caillat,never gonna let you down
pestilence,malleus maleficarum / anthropomorphia
eric church,before she does
emmylou harris,when i stop dreaming
the rolling stones,shattered
green day,the judge's daughter
elvin jones,m.e.
the black keys,breaking down
johnny cash,we are the shepherds
the dictators,stay with me
hank snow,the prisoner's dream
carl smith,please come back home
oscar peterson,surrey with the fringe on top
vince gill,if you ever have forever in mind
the mamas & the papas,safe in my garden
bonnie raitt,i thank you
nine inch nails,ringfinger
prince far i,shuffle and deal
black label society,suicide messiah
the flying burrito brothers,crazy arms
johnny mathis,sleigh ride
nickodemus,give the drummer some
r.e.m.,oddfellows local 151
alan jackson,i'd love you all over again
skid row,can't stand the heartache
bo diddley,our love will never go
j.j. cale,carry on
lucky dube,ding ding licky licky bong
wiz khalifa,so high (feat. ghost loft)
pretenders,mystery achievement
george strait,is it already time
jackie wilson,as long as i live
benny goodman,stompin at the savoy
albert king,everyday i have the blues
muse,sing for absolution
michael franti & spearhead,all i want is you
the guess who,a wednesday in your garden
onerepublic,no vacancy
joan baez,never dreamed you'd leave in summer
rush,superconductor
stryper,calling on you
champion jack dupree,strollin'
rage against the machine,born as ghosts
warren g,you never know
jah cure,before i leave
scotty mccreery,the dash
skillet,forgiven
the stone roses,bye bye bad man
nina simone,come ye
system of a down,chop suey!
dean martin,solitaire
yellowman,body move
ed sheeran,give me love
dr. hook,the millionaire
steve earle,once you love
todd rundgren,breathless
the impressions,falling in love with you
the allman brothers band,ain't wasting time no more (live)
pearl jam,just breathe
loudon wainwright iii,lost love
nina simone,tomorrow is my turn
blur,beetlebum
the lemonheads,into your arms
babyface,given a chance
traveling wilburys,not alone any more
patrick sweany,after awhile
bon jovi,livin' on a prayer
ice cube,what they hittin' foe?
hank locklin,the wild side of life
macka b,slow down driver
ace of base,cruel summer
gary moore,parisienne walkways
motörhead,damage case
bad company,don't let me down
ray price,you're the best thing that ever happened to me
crucifix,down 2 die (feat. sean p)
alice cooper,years ago
sleeping with sirens,f**k you
johnny cash,next in line
graveyard,"no good, mr holden"
yazmin lacey,something my heart trusts
johnny pacheco,agua de clavelito
creedence clearwater revival,born to move
chicago,i'm a man
meek mill,blue notes
boogie down productions,gimme dat (woy)
david axelrod,the warnings part ii
georgie fame,somebody stole my thunder
lucky dube,kiss no frog
nje,this is my melody
solange,cranes in the sky
caravan palace,human leather shoes for crocodile dandies
black lips,make you mine
the sonics,night time is the right time
the national,terrible love
dj jazzy jeff,all i know feat. c.l. smooth
sheryl crow,sweet child o' mine
tommy castro,lucky in love
benny goodman,where or when
ellie goulding,lights
carole king,screaming and yelling
anita o'day,i could write a book
soja,rasta courage
billy squier,lonely is the night
cyndi lauper,calm inside the storm
les paul,i'm sitting on top of the world
goldlink,hip hop interlude
no doubt,trapped in a box
alice in chains,nutshell
the monkees,shades of gray
green day,"blood, sex and booze"
miranda lambert,mama's broken heart
hi-five,i can't wait another minute
justin timberlake,my love (feat. t.i.)
sufjan stevens,visions of gideon
trisha yearwood,you say you will
grateful dead,brokedown palace
george benson,we as love
the gun club,my man's gone now
fugazi,promises
dizzy gillespie,school days
wes montgomery,california dreaming
twisted sister,the price
the fabulous thunderbirds,the crawl
daryl hall & john oates,method of modern love
lucinda williams,six blocks away
godsmack,love-hate-sex-pain
slave,the happiest days
the kills,pots and pans
busta rhymes,salute da gods!!
waka flocka flame,rock hop (feat. wooh da kid)
nathan abshire,games people play
pestilence,land of tears
minnie riperton,reasons
twenty one pilots,fake you out
harry belafonte,a day in the life of a fool
cocoa tea,babylon get rude
stephen stills,change partners
johnny cash,it's all over
john anderson,swingin'
wipers,potential suicide
alanis morissette,head over feet
j.j. cale,living here too
scouting for girls,she's so lovely
j-kwon,tipsy 09
graveyard,ungrateful are the dead
real estate,beach comber
jerry lee lewis,before the next teardrop falls
george jones,ain't nothin' shakin' (but the leaves)
white denim,just dropped in (to see what condition my condition is in)
vince guaraldi,chora tua tristeza
hannah montana,life's what you make it
busta rhymes,why we die (feat. dmx and jay z)
post malone,congratulations
blind guardian,mirror mirror
alan jackson,hard hat and a hammer
lightnin' hopkins,the foot race is on
modest mouse,polar opposites
leon redbone,marie
mad season,locomotive
gary bartz ntu troop,celestial blues
schoolly d,saturday night
alabama,keepin' up
fourplay,that's the time
tina brooks,up tight's creek
mikey dread,money dread
joni mitchell,nathan la franeer
abstract rude,pride
the cranberries,go your own way
bargain music,i'm waiting
john king,try saying goodbye
pablo cruise,can't you hear the music?
dwight yoakam,train in vain
thelonious monk,you are too beautiful
cyne,maintain
black pistol fire,alabama coldcock
cypress hill,(rock) superstar
darryl worley,i will hold my ground
dean martin,i've grown accustomed to her face
ms. lauryn hill,superstar
traffic,holy ground
al jarreau,agua de beber
thin lizzy,night life
the fall,"overture from 'i am curious, orange'"
talking heads,seen and not seen
mac miller,of the soul
naughty by nature,holiday (feat. phiness)
groove armada,history (love mix)
phoebe snow,either or both
xtc,making plans for nigel
david nail,kiss you tonight
ocean alley,space goat
eddy arnold,tumbling tumbleweeds
steve earle,ben mcculloch
james otto,groovy little summer song
phyllis hyman,what you won't do for love
the cramps,aloha from hell
sawyer brown,leona
michael franti & spearhead,hey hey hey
angelo debarre,valse de bamboula
john mayall,change your ways
ella fitzgerald,yesterdays
the score,higher
thin lizzy,banshee
george jones,still doin' time
stoney larue,let me hold you
xtc,generals and majors
sting,it's probably me
céline dion,falling into you
fall out boy,just one yesterday
dean martin,here comes my baby
upchurch,traveler
diamond rio,i will start all over again
the birthday party,capers
bruce cockburn,lovers in a dangerous time
the allman brothers band,revival
eric clapton,mean old frisco
aretha franklin,angel
chris knight,cry lonely
matt maher,because he lives (amen)
dinah washington,it might as well be spring
fabolous,sickalicious (feat. missy elliott)
the jive five,what time is it
three 6 mafia,weak azz b***h (feat. la chat)
jethro tull,beltane
bobby vee,long lonely nights
todd snider,keep off the grass
nipsey hussle,hussle in the house
the everly brothers,('til) i kissed you
heart,here song
iron maiden,caught somewhere in time
donny hathaway,for all we know
supersuckers,dead in the water
junior wells,little by little
tony bennett,it don't mean a thing (if it ain't got that swing)
the skatalites,the don (part i)
the marshall tucker band,i'll be loving you
the beatles,long tall sally
isaiah rashad,4r da squaw
the melodians,it took a miracle
alice in chains,frogs
social distortion,ghost town blues
nai palm,molasses
blind faith,had to cry today
orleans,the bum
mike pinto,a thousand years ago
boney james,don't let me be lonely tonight
vince gill,my kind of woman/my kind of man
ella fitzgerald,all of me
jamey johnson,angel
super cat,fight fi power
thin lizzy,massacre
connie francis,i'll be home for christmas
cocteau twins,love's easy tears
nicki minaj,right by my side
cachao,descarga cubana
lloyd banks,i get high
artie shaw,all the things you are
old crow medicine show,i hear them all
daryle singletary,the note
jefferson airplane,good shepherd
gina sicilia,man in the sky
eldissa,fame
koop,koop island blues
john hiatt,the tiki bar is open
janet jackson,that's the way love goes
kina grannis,can't help falling in love
the beatles,all my loving
b.b. king,losing faith in you
banners,start a riot
the plimsouls,a million miles away
quincy jones,takin it to the streets
wanda jackson,the last letter
toni romiti,imma dog too
dennis wilson,time
vince gill,whenever you come around
dirty heads,west coast
klass band brotherhood,sugaa shack
rich homie quan,"flex (ooh, ooh, ooh)"
alicia keys,lesson learned (feat. john mayer)
george strait,round about way
barbra streisand,my honey's loving arms
willie nelson,harbor lights
nightmares on wax,survival
tim buckley,strange street affair under blue
avicii,the days
perry como,in the garden
nina simone,something wonderful
boney james,love's like that (feat. fourplay)
they might be giants,we want a rock
ray campi,it ain't me
bonnie raitt,love has no pride
gregg allman,going going gone
stick figure,heartland (acoustic)
gene watson,sometimes i get lucky and forget
alice cooper,paranormal
barry manilow,ready to take a chance again
kid rock,all summer long
gene vincent,my heart
the knitters,trail of time
ben e. king,here comes the night
kadhja bonet,this love
godsmack,rocky mountain way
jerry lee lewis,to make love sweeter for you
the crickets,oh boy!
bring me the horizon,empire (let them sing)
dean martin,my heart cries for you
muse,falling away with you
hank thompson,anybody's girl
fontella bass,our day will come
the oak ridge boys,somewhere in the night
delbert mcclinton,down into mexico
jerry garcia,knockin' on heaven's door
alice cooper,the black widow
miri ben-ari,miss melody
seals and crofts,one more time
eddie kendricks,ain't no smoke without fire
abba,waterloo
clint black,the old man
stanley clarke,i just want to love you
josh heinrichs,stand (feat. bw)
barns courtney,hollow
stonewall jackson,pins and needles (in my heart)
eric clapton,man in love
l'indécis,sunrise drive
rod stewart,tomorrow is a long time
tim mcgraw,i keep it under my hat
soft machine,have you ever bean grean?
atlanta rhythm section,imaginary lover
keith richards,hate it when you leave
mötley crüe,danger
pop evil,waking lions
van zant,i'm a fighter
st germain,what you think about...
peter white,life story
blake shelton,lay low
blue öyster cult,in thee
black lips,it feels alright
lonestar,runnin' away with my heart
tool,undertow
etta james,girl of my dreams
kate bush,pull out the pin
burning spear,jah kingdom
lindisfarne,meet me on the corner
testament,practice what you preach
black sabbath,megalomania
the offspring,elders
set it off,kill the lights
nice & smooth,funky for you
firefall,you are the woman
the brand new heavies,worlds keep spinning
the bravery,time won't let me go
tyree neal,bring it on home
my morning jacket,honest man
the byrds,draft morning
electric light orchestra,epilogue
abba,when i kissed the teacher
nine lashes,anthem of the lonely
erasure,love to hate you
dion & the belmonts,just you
brantley gilbert,just as i am
papa roach,between angels and insects
judas priest,johnny b. goode
a-ha,living a boy's adventure tale
mazzy star,mary of silence
the used,let it bleed
vern gosdin,tight as twin fiddles
dio,invisible
rosanne cash,"baby, better start turnin' em down"
usher,love in this club (feat. young jeezy)
julie london,why don't you do right
thelonious monk,smoke gets in your eyes
the green,you've been crying
linda ronstadt,i love you for sentimental reasons
etta james,"baby, baby, everynight"
dan fogelberg,only the heart may know
bad brains,re-ignition
lambchop,up with people
don gibson,we live in two different worlds
waylon jennings,amanda
the score,dreamin (with blackbear)
crime mob,knuck if you buck
jackson c. frank,you never wanted me
styx,rockin' the paradise
dave rawlings machine,monkey and the engineer
james cotton,diggin' my potatoes
cocoa tea,i'm the toughest
suburban lawns,gossip
willow,wait a minute!
brooklyn funk essentials,the creator has a master plan
iron maiden,sign of the cross
jerry garcia,"hot corn, cold corn"
thievery corporation,saudade
willie nelson,december day
slightly stoopid,anywhere i go
duran duran,late bar
the highwaymen,born and raised in black and white
travis tritt,more than you'll ever know
phish,scent of a mule
kofi,black pride
queen,delilah
sza,broken clocks
big walter horton,have a good time
guy clark,black diamond strings
ella fitzgerald,ill wind
junior murvin,cool out son
wu-tang clan,keep watch
johnny mathis,call me
rodney atkins,what's left of me
charley pride,let the chips fall
drake,diamonds dancing
john mellencamp,between a laugh and a tear
billy ocean,love really hurts without you
deep purple,black night
blondie,accidents never happen
robert plant,carry fire
shakatak,lonely afternoon
frank zappa,advance romance
blink-182,give me one good reason
misfits,forbidden zone
willie dixon,i ain't superstitious
peace orchestra,domination
diana krall,i'll string along with you
slightly stoopid,i metal
quiet riot,bang your head (metal health)
deep purple,shadows
george strait,you're right i'm wrong
john fogerty,headlines
carpenters,goodbye to love
irma thomas,ruler of my heart
patsy cline,leavin' on your mind
james mcmurtry,painting by numbers
ray price,until then
ray stevens,help me make it through the night
paul simon,april come she will
benny carter,we were in love
tribal seeds,empress
gov't mule,sad and deep as you
sheena easton,telefone (long distance love affair)
the last shadow puppets,standing next to me
linton kwesi johnson,di black petty booshwah
jerry garcia,keepers
ann peebles,the handwriting is on the wall
bo diddley,congo
testament,return to serenity
tinsley ellis,cut you loose
marty robbins,don't worry
john fogerty,deja vu (all over again)
cheap trick,voices
wild cub,thunder clatter
lucky dube,crying games
bad company,nuthin' on the tv
buddy holly,take your time
tony bennett,the boulevard of broken dreams
robert earl keen,i would change my life
souls of mischief,disseshowedo
waylon jennings,sweet music man
brenda holloway,every little bit hurts
atlanta rhythm section,pretty girl
the beatles,all i've got to do
vera lynn,those were the days
dean martin,i don't care if the sun don't shine
paul davis,superstar
mac miller,thoughts from a balcony
connan mockasin,"i'm the man, that will find you"
carole king,smackwater jack
ella fitzgerald,winter wonderland
vince gill,no future in the past
kip moore,lead me
stitchie,i stand
rhett miller,come around
carly simon,devoted to you
chicago,old days
the byrds,c.t.a.
brick & lace,never never
rival sons,feral roots
john mellencamp,rain on the scarecrow
david bowie,janine
sonny rollins,no moe
ac/dc,what do you do for money honey
george jones,something i dreamed
brandy,missing you
iron maiden,2 minutes to midnight
maddie & tae,your side of town
blues traveler,"the good, the bad and the ugly"
buena vista social club,bodas de oro (feat. rubén gonzález & jesús ramos)
lloyd price,personality
odyssey,our lives are shaped by what we love
thin lizzy,southbound
breaking benjamin,blood
bruce springsteen,two hearts
green day,i was there
the jeff healey band,hell to pay
brownie mcghee,brownie's blues
public enemy,don't believe the hype
foghat,a hole to hide in
donna summer,winter melody
queen,sheer heart attack
josh turner,pallbearer
bing crosby,far away places
al jarreau,high crime
lorrie morgan,i finally found someone
kari jobe,i am not alone
travis scott,can't say
"emerson, lake & palmer",the only way (hymn)
seether,words as weapons
average white band,groovin' the night away
nav,tap (feat. meek mill)
bent,king wisp
blue öyster cult,demon's kiss
the kinks,gotta get the first plane home
kenny g,a year ago
jack white,blues on two trees
warrior king,my life
real life,catch me i'm falling
queen,who wants to live forever
audioslave,cochise
the cadillacs,that's all i need
carrie underwood,who are you
tanya stephens,what's your story
jim hall,don't forget
nazareth,talkin' 'bout love
the brand new heavies,bonafide funk
haken,the good doctor
electric light orchestra,don't walk away
chris ledoux,bull rider
keith urban,thank you
dave mason,shouldn't have took more than you gave
willie nelson,undo the right
thin lizzy,someday she is going to hit back
melanie,close to it all
the bennies,corruption
quality control,virgil
christian scott atunde adjuah,the eraser
bread,today's the first day
willie nelson,home motel
green day,she
judas priest,(take these) chains
alice cooper,hey stoopid
black roots,what them a do
george thorogood & the destroyers,crawling king snake
chris rea,love turns to lies
freddy fender,after the fire is gone
jeff beck,short business
dirty heads,hip hop misfits
all them witches,call me star
deep purple,you keep on moving
james tw,please keep loving me
the jayhawks,waiting for the sun
jonathan butler,so strong
waylon jennings,i'm a man of constant sorrow
b.b. king,key to my kingdom
keith sweat,come and get with me
interpol,obstacle 1
chris brown,liquor
iggy pop,fall in love with me
glen campbell,god only knows
the black keys,meet me in the city
wc,g-s**t
john lee hooker,keep your hands to yourself (she's mine)
randy travis,point of light
mott the hoople,sea diver
johnny cash,ain't no grave
santana,stay (beside me)
emmylou harris,making believe
311,six
hank williams,the devil's train
jess glynne,don't be so hard on yourself
confederate railroad,time off for bad behavior
electric light orchestra,bluebird is dead
slightly stoopid,operation
trillville,weakest link
dean martin,the christmas blues
dave van ronk,"leave her johnny, leave her"
daryle singletary,hurts don't it
clay walker,if i could make a living
lemon jelly,experiment number six
zac brown band,let it go
arctic monkeys,only ones who know
mary wells,two lovers
the smiths,handsome devil
keith urban,if you wanna stay
greensky bluegrass,road to nowhere
alan jackson,blessed assurance
bobby vinton,sealed with a kiss
alice in chains,your decision
the spits,rat face
tony bennett,i've got the world on a string
bread,lay your money down
black moon,powaful impak!
dead kennedys,forward to death
macka b,peace cup
june carter cash,without a love to call my own
tanya tucker,just another love
sammy kershaw,what might have been
ken boothe,feeling soul
lesley gore,my foolish heart
mary lou williams,the devil
john michael montgomery,dream on texas ladies
jah roots,i know
louie ramirez,medley
matthew sweet,divine intervention
godspeed you! black emperor,east hastings
korn,no way
trapt,still frame
ted nugent,stormtroopin'
the flaming lips,it's summertime
post malone,go flex
saliva,superstar
dwight yoakam,things we said today
inner circle,smoke
suicidal tendencies,subliminal
killswitch engage,as sure as the sun will rise
stereo mc's,fade away
jamey johnson,mowin' down the roses
radioinactive,left handed cigarettes
ella fitzgerald,i've got my love to keep me warm
queens of the stone age,my god is the sun
the cranberries,still can't...
"royce da 5'9""",my own planet (feat. joe budden)
the black angels,snake in the grass
deep purple,this time around / owed to 'g'
george strait,nobody in his right mind would've left her
kurtis blow,basketball
suicide,che
gary moore,texas strut
vybz kartel,drink up
fennesz,transit (feat. david sylvian)
the chordettes,eddie my love
tammy wynette,don't make me go to school
ice cube,down for whatever
crowded house,distant sun
thomas rhett,grave
the dramatics,thank you for your love
mötley crüe,power to the music
emmylou harris,the last cheater's waltz
neil diamond,until it's time for you to go
michael franks,b'wana-he no home
the vines,factory
aretha franklin,night time is the right time
rakim,when i b on tha mic
alice cooper,zombies dance
papa m,over jordan
confederate railroad,borrowed time
whitney houston,jesus loves me
webb pierce,slowly
johnny rivers,look to your soul
the del-vikings,whispering bells
céline dion,to love you more
jay & the americans,yes
the fall,to nk roachment: yarbles
hank williams,dear john
david axelrod,a dream
mongo santamaria,green onions
the animals,i believe to my soul
john berry,what's in it for me
waylon jennings,(sittin' on) the dock of the bay
the bellamy brothers,livin' in the west
jimmy buffett,grapefruit
kid ink,hell & back
the highwaymen,here comes that rainbow again
chris rea,bombollini
sonny james,i'll keep holding on (just to your love)
hank williams,how can you refuse him now
donna summer,breakaway
the rippingtons,age of reason
drake,find your love
the tymes,wonderful! wonderful!
shaggy,hot gal
hanni el khatib,save me
bobby darin,that's the way love is
blue öyster cult,career of evil
"crosby, stills, nash & young",find the cost of freedom
candlebox,don't you
sons of kemet,my queen is ada eastman
chet atkins,i love how you love me
morphine,a head with wings
suicidal tendencies,possessed
dorothy,whiskey fever
louis prima,st. louis blues
damn yankees,don't tread on me
madeleine peyroux,tango till they’re sore
"""weird al"" yankovic",your horoscope for today
todd rundgren,when the shit hits the fan / sunset blvd.
the kingston trio,when my love was here
the dave clark five,bits and pieces
alice cooper,thrill my gorilla
loggins & messina,whiskey
jacki-o,i got yo boyfriend
ike quebec,goin' home
lizz wright,salt
grace jones,breakdown
dusty springfield,when the love light starts shining thru his eyes
julee cruise,falling
journey,all the way
paul taylor,pleasure seeker
dany dan,capital d
